0	0.14542	party walk hill box extremely leave scheme hot lane strawberries dull heat housekeeper message laugh words donwell eat sit hall 
1	0.31436	engagement letter conduct truth fact suffering blessing spite attached particulars secret induced pain returned continue reflection event borne resolution due 
2	0.15751	dancing crown ball dance room passage couple bates standing stand purpose begin supper partner appeared rooms spirit crowd instant otway 
3	0.1684	grove maple assure bath elton musical bride suckling parties pride creature selina exploring resources brother post-office grounds summer public bristol 
4	0.08116	children charade snow sea paper goddard’s throat south wingfield john gruel soft papa give isabella eldest book read lovely clever 
5	4.31258	emma mrs miss thing weston knightley good elton great time woodhouse dear thought harriet made frank young churchill body father 
6	0.25868	jane miss fairfax mrs bates cole campbell colonel heard dixon hear mother campbells fairfax’s bates’s obliged instrument pianoforte jane’s apples 
7	0.29489	man taylor years marriage papa handsome amiable james highly temper churchills history merit pleasing hands single habits intercourse gentle disposition 
8	0.16139	harriet harriet’s words behaviour unhappy rest wonderful superior mistake parcel court-plaister hopes god deep angry reply language frightened silent history 
9	0.24021	harriet martin harriet’s robert likeness goddard’s man picture nash smith plain beauty sisters intimacy martin’s martins hands marriage goddard sense 
